iter	Passed	Remaining
596	2871	1938
597	2875	1932
598	2879	1927
599	2883	1922
600	2887	1916
601	2891	1911
602	2895	1906
603	2899	1900
604	2903	1895
605	2907	1890
606	2911	1885
607	2915	1879
608	2919	1874
609	2924	1869
610	2927	1864
611	2931	1858
612	2936	1853
613	2940	1848
614	2943	1842
615	2947	1837
616	2952	1832
617	2956	1827
618	2960	1822
619	2964	1817
620	2969	1812
621	2973	1806
622	2977	1801
623	2981	1796
624	2985	1791
625	2989	1786
626	2993	1780
627	2997	1775
628	3002	1770
629	3006	1765
630	3010	1760
631	3014	1755
632	3018	1750
633	3022	1744
634	3026	1739
635	3031	1734
636	3036	1730
637	3040	1725
638	3045	1720
639	3050	1715
640	3054	1710
641	3059	1705
642	3063	1701
643	3068	1696
644	3074	1692
645	3079	1687
646	3084	1683
647	3089	1678
648	3094	1673
649	3099	1669
650	3104	1664
651	3109	1659
652	3114	1655
653	3119	1650
654	3124	1645
655	3129	1641
656	3134	1636
657	3139	1631
658	3144	1626
659	3149	1622
660	3154	1617
661	3158	1612
662	3163	1608
663	3168	1603
664	3173	1598
665	3178	1594
666	3183	1589
667	3188	1584
668	3193	1579
669	3198	1575
670	3203	1570
671	3209	1566
672	3213	1561
673	3217	1556
674	3221	1551
675	3226	1546
676	3230	1541
677	3234	1536
678	3238	1531
679	3243	1526
680	3247	1521
681	3251	1516
682	3257	1511
683	3261	1506
684	3265	1501
685	3269	1496
686	3273	1491
687	3277	1486
688	3281	1481
689	3285	1476
690	3289	1471
691	3293	1466
692	3297	1460
693	3301	1455
694	3305	1450
695	3310	1445
696	3314	1440
697	3317	1435
698	3321	1430
699	3326	1425
700	3329	1420
701	3333	1415
702	3337	1410
703	3342	1405
704	3346	1400
705	3350	1395
706	3353	1389
707	3358	1385
708	3362	1379
709	3366	1374
710	3370	1369
711	3374	1364
712	3378	1359
713	3382	1354
714	3386	1349
715	3390	1344
716	3394	1339
717	3398	1334
718	3402	1329
719	3406	1324
720	3410	1319
721	3414	1314
722	3418	1309
723	3422	1304
724	3426	1299
725	3430	1294
726	3434	1289
727	3438	1284
728	3442	1279
729	3447	1275
730	3451	1270
731	3455	1265
732	3460	1260
733	3466	1256
734	3470	1251
735	3474	1246
736	3478	1241
737	3483	1236
738	3487	1231
739	3491	1226
740	3495	1221
741	3500	1217
742	3504	1212
743	3508	1207
744	3512	1202
745	3516	1197
746	3520	1192
747	3524	1187
748	3529	1182
749	3533	1177
750	3537	1172
751	3541	1167
752	3544	1162
753	3549	1158
754	3553	1153
755	3558	1148
756	3562	1143
757	3566	1138
758	3570	1133
759	3574	1128
760	3578	1123
761	3582	1119
762	3586	1114
763	3590	1109
764	3595	1104
765	3599	1099
766	3603	1094
767	3607	1089
768	3611	1084
769	3615	1079
770	3619	1075
771	3623	1070
772	3627	1065
773	3631	1060
774	3635	1055
775	3639	1050
776	3643	1045
777	3647	1040
778	3651	1035
779	3655	1030
780	3659	1026
781	3663	1021
782	3667	1016
783	3671	1011
784	3676	1006
785	3681	1002
786	3686	997
787	3691	993
788	3696	988
789	3702	984
790	3707	979
791	3712	975
792	3717	970
793	3722	965
794	3727	961
795	3732	956
796	3737	952
797	3742	947
798	3748	942
799	3753	938
800	3758	933
801	3764	929
802	3770	924
803	3776	920
804	3782	916
805	3788	911
806	3793	907
807	3798	902
808	3803	897
809	3808	893
810	3813	888
811	3818	884
812	3823	879
813	3828	874
814	3833	870
815	3839	865
816	3844	861
817	3850	856
818	3856	852
819	3860	847
820	3865	842
821	3869	837
822	3873	832
823	3876	828
824	3881	823
825	3885	818
826	3889	813
827	3893	808
828	3897	803
829	3900	798
830	3904	794
831	3908	789
832	3913	784
833	3917	779
834	3921	774
835	3926	770
836	3931	765
837	3936	761
838	3941	756
839	3946	751
840	3951	746
841	3955	742
842	3960	737
843	3964	732
844	3968	728
845	3973	723
846	3977	718
847	3980	713
848	3985	708
849	3989	704
850	3993	699
851	3997	694
852	4001	689
853	4005	684
854	4009	679
855	4013	675
856	4017	670
857	4021	665
858	4025	660
859	4029	655
860	4033	651
861	4037	646
862	4041	641
863	4045	636
864	4050	632
865	4055	627
866	4058	622
867	4063	617
868	4066	613
869	4070	608
870	4074	603
871	4078	598
872	4083	593
873	4087	589
874	4091	584
875	4095	579
876	4099	574
877	4103	570
878	4107	565
879	4111	560
880	4115	555
881	4119	551
882	4123	546
883	4127	541
884	4131	536
885	4135	532
886	4140	527
887	4145	522
888	4151	518
889	4156	513
890	4160	508
891	4164	504
892	4169	499
893	4173	494
894	4177	490
895	4182	485
896	4186	480
897	4190	475
898	4194	471
899	4199	466
900	4204	462
901	4210	457
902	4215	452
903	4222	448
904	4228	443
905	4233	439
906	4238	434
907	4245	430
908	4249	425
909	4255	420
910	4259	416
911	4264	411
912	4269	406
913	4274	402
914	4279	397
915	4284	392
916	4289	388
917	4294	383
918	4299	378
919	4307	374
920	4317	370
921	4325	365
922	4334	361
923	4342	357
924	4350	352
925	4359	348
926	4366	343
927	4373	339
928	4380	334
929	4387	330
930	4394	325
931	4401	321
932	4408	316
933	4414	311
934	4421	307
935	4429	302
936	4436	298
937	4443	293
938	4450	289
939	4457	284
940	4464	279
941	4470	275
942	4476	270
943	4480	265
944	4485	261
945	4490	256
946	4495	251
947	4500	246
948	4505	242
949	4510	237
950	4515	232
951	4520	227
952	4525	223
953	4530	218
954	4535	213
955	4540	208
956	4544	204
957	4550	199
958	4556	194
959	4563	190
960	4570	185
961	4578	180
962	4586	176
963	4593	171
964	4598	166
965	4601	161
966	4606	157
967	4610	152
968	4614	147
969	4618	142
970	4622	138
971	4626	133
972	4629	128
973	4633	123
974	4639	118
975	4643	114
976	4647	109
977	4651	104
978	4655	99
979	4659	95
980	4663	90
981	4668	85
982	4672	80
983	4676	76
984	4680	71
985	4684	66
986	4688	61
987	4692	56
988	4697	52
989	4701	47
990	4705	42
991	4709	37
992	4713	33
993	4717	28
994	4721	23
995	4725	18
996	4730	14
997	4735	9
998	4739	4
999	4743	0
